id,lat,lng
1,-2.154,-79.894
2,48.857,2.3508
3,0.41989,-78.19
4,-0.19194,-78.519
5,-0.19827,-78.487
6,-2.1759,-79.909
7,-0.95405,-80.742
8,-2.1488,-79.884
9,-0.31801,-78.439
10,-2.1833,-79.883
11,9.0149,-79.474
12,53.48,-2.2551
13,33.944,-118.41
14,43.643,-79.379
15,-0.18943,-78.491
16,-2.1375,-79.919
17,-2.8992,-79.015
18,25.838,-80.383
19,-5.1785,-80.643
20,-1.0437,-80.464
21,40.703,-73.99
22,-2.0748,-80.731
23,-0.18512,-78.488
24,-0.45901,-77
25,0.27124,-79.957
26,-2.9056,-79.006
27,-2.1435,-79.893
28,9.5789,-65.635
29,-0.17753,-78.477
30,-11.986,-76.996
31,-0.16792,-78.485
32,42.305,-83.118
33,-2.2568,-79.869
34,33.918,-84.377
35,40.745,-73.949
36,-0.25,-78.583
37,-2.9039,-79.004
38,-0.1807,-78.482
39,-12.089,-77.007
40,-2.1678,-79.896
41,-2.1818,-79.996
42,-0.21941,-78.507
43,4.6801,-74.117
44,-2.1514,-79.907
45,4.597,-74.076
46,-0.14297,-78.496
47,-0.91379,-77.84
48,-0.15872,-78.478
49,-46.443,-67.509
50,-34.588,-58.41
51,-2.1822,-79.884
52,-12.113,-77.032
53,-0.20497,-78.505
54,-2.0299,-79.912
55,-1.5008,-78.063
56,-0.18049,-78.478
57,-2.1671,-79.92
58,-12.075,-77.035
59,-2.8992,-79.015
60,48.872,2.3552
61,-0.33933,-78.545
62,-12.121,-77.028
63,-2.1587,-79.887
64,-0.19675,-78.48
65,-0.2,-78.433
66,-0.20414,-78.493
67,-2.1896,-79.966
68,-27.496,153.01
69,-2.1833,-79.883
70,-2.9048,-78.986
71,-0.1835,-78.476
72,-0.20414,-78.437
73,-2.111,-79.91
74,-2.1833,-79.883
75,-8.1292,-79.038
76,48.859,2.2981
77,-0.2233,-79.163
78,-12.095,-77.012
79,-12.087,-77.055
80,-2.1326,-79.868
81,-33.041,-71.624
82,-2.8992,-79.015
83,-0.18018,-78.487
84,8.9667,-79.533
85,-0.17966,-78.479
86,-0.25,-78.583
87,-2.1667,-79.9
88,-0.1667,-78.451
89,-0.22603,-78.521
90,-0.20654,-78.518
91,-3.269,-79.948
92,-2.8928,-79.016
93,10.15,-70.717
94,-0.13461,-78.486
95,-0.15508,-78.461
96,30.393,-86.475
97,-12.094,-77.025
98,-2.1221,-79.922
99,28.479,-81.259
100,-2.1833,-79.883
101,-1.052,-80.46
102,-2.1833,-79.883
103,-2.6491,-80.382
104,33.426,-117.61
105,-0.27225,-79.459
106,-0.14643,-78.49
107,-12.146,-77.023
108,-2.2065,-79.899
109,-12.043,-77.028
110,40.4,-3.6833
111,-12.043,-77.028
112,-0.95773,-78.899
113,-0.2033,-78.499
114,0.95849,-79.654
115,-6.4893,-76.361
116,-2.1592,-79.898
117,-2.1689,-79.9
118,-2.8989,-79.014
119,-0.20471,-78.493
120,-2.1546,-79.899
121,-2.877,-78.949
122,-2.147,-79.869
123,-0.95002,-80.716
124,-2.1091,-79.901
125,-0.21182,-78.504
126,-0.1992,-78.496
127,-2.1473,-79.858
128,-2.1833,-79.883
129,-0.23,-78.52
130,4.8691,-75.62
131,41.402,2.1607
132,-2.1826,-79.894
133,-0.2054,-78.484
134,-2.1833,-79.883
135,-0.94733,-80.735
136,-1.2374,-78.63
137,-2.1633,-79.941
138,-0.25,-78.583
139,-12.044,-77.104
140,-2.187,-79.897
141,4.6032,-74.071
142,-2.1226,-79.925
143,-12.135,-77.027
144,-2.1632,-79.913
145,35.045,-85.267
146,-3.2641,-79.944
147,-2.1442,-79.89
148,-0.25,-78.583
149,-0.18505,-78.508
150,-0.25012,-79.175
151,40.75,-73.991
152,-1.2618,-78.639
153,-8.112,-79.029
154,-2.1682,-79.886
155,-13.158,-74.224
156,-2.1439,-79.962
157,8.9667,-79.533
158,-2.1634,-79.898
159,10.657,-63.256
160,-1.3961,-78.437
161,-2.1833,-79.883
162,0.33217,-78.217
163,-0.20525,-78.458
164,-2.303,-78.118
165,-1.2393,-78.621
166,-0.070339,-78.472
167,-2.1764,-79.942
168,-2.0592,-79.923
169,40.704,-74.016
170,-0.24861,-79.158
171,-1.2399,-78.637
172,-0.92625,-80.207
173,-2.1122,-79.873
174,-0.17808,-78.485
175,-2.1833,-79.883
176,6.2359,-75.575
177,-12.026,-77.026
178,-2.1748,-79.887
179,-12.052,-77.03
180,-2.1558,-79.893
181,-2.1489,-79.905
182,-0.18407,-78.491
183,-1.9163,-80.01
184,-2.1755,-79.898
185,-0.25,-79.15
186,-2.1483,-79.911
187,-2.1887,-79.929
188,-2.3314,-79.403
189,-2.1644,-79.897
190,-2.1607,-79.611
191,-0.90038,-89.61
192,1.206,-77.264
193,-2.1769,-79.905
194,-2.2111,-79.441
195,-0.95002,-80.716
196,-0.92679,-80.448
197,-11.959,-77.068
198,7.0694,-73.11
199,-0.21796,-78.521
200,-2.0637,-79.879
201,-2.128,-79.595
202,-0.1896,-78.484
203,-0.13014,-78.483
204,-2.1833,-79.883
205,-0.10772,-78.489
206,-0.93194,-78.616
207,-2.1702,-79.899
208,-2.119,-79.901
209,-2.1389,-79.894
210,-2.1702,-79.899
211,36.117,-115.17
212,-8.102,-79.039
213,-1.058,-80.475
214,-2.1535,-79.893
215,-2.1347,-79.925
216,-2.0482,-79.915
