Var1,Var2,Var3,id,statusCount,followersCount,FriendsCount,ranking,distances
2069,236161907,feliciansanchez,2069,34701,2572,1080,0.103594482784135,79.6070288623831
146,37254426,Ladrillazo,146,16522,2035,1769,0.104217850265579,350.384702286887
556,91633088,Malalisima,556,5060,1193,230,0.0824069820089166,1073.19472843792
3767,789478938,MoisesRiscoB,3767,9257,2966,3147,0.102397795855856,216.967706526341
1029,139863830,soynanagomez,1029,4905,1627,1988,0.0923495076537358,802.837917429792
1276,160338522,heinzc93,1276,1948,3115,2758,0.104229501024827,348.325878157011
1646,192427162,freddyferruzola,1646,26224,1193,1231,0.103182718222939,137.26348218206
3261,438419123,xander_cse,3261,15442,1086,522,0.103912011562563,83.1388293126498
777,119955422,javs_bsc,777,2148,3777,3845,0.101805602715522,0
749,118170524,henrybautista24,749,19172,356,855,0.101903547905925,422.723392621549
