id,tweets,followers,friends
1,1608,441,341
2,55372,905,389
3,9745,260,1543
4,16256,390,135
5,36186,618,643
6,47907,649,536
7,11042,366,644
8,35486,230221,4609
9,13105,24895,327
10,3027,267,835
11,33835,448,457
12,1430,128,273
13,15344,333,276
14,3458,592,435
15,689,100,256
16,4995,528,1053
17,8357,642,199
18,482,93,174
19,8800,3587,1116
20,693,51,28
21,484,76,132
22,1998,227,367
23,9294,1558,856
24,76,33,101
25,5629,489,1071
26,18208,638,950
27,12270,3336,730
28,4331,2305,870
29,2565,563,516
30,7936,250,329
31,10627,218,164
32,3436,248,385
33,5512,837,484
34,9139,1143,939
35,3156,156,1483
36,3151,327,553
37,138,117,317
38,4,5,14
39,11877,808,171
40,1165,202,786
41,90262,1084,482
42,55,303,188
43,6223,513,929
44,1213,156,384
45,13409,860,397
46,352,15,38
47,253,169,304
48,125,62,95
49,674,26,92
50,2901,278,340
51,4554,868,390
52,12718,404,312
53,1544,504,240
54,1577,79,310
55,3112,140,294
56,2617,269,600
57,5748,191,410
58,11560,189,191
59,82974,761,771
60,2849,626,607
61,1935,348,538
62,60,31,223
63,992,50,140
64,1738,639,1665
65,2038,73,46
66,22062,30060,6535
67,583,97,81
68,744,57,83
69,5309,361,575
70,106,54,83
71,2626,324,451
72,524,143,351
73,2126,123,631
74,1825,2801,2596
75,2930,273,997
76,7930,351,277
77,1367,171,249
78,28592,3324,585
79,524,812,954
80,94,61,123
81,2996,72,90
82,150,44,136
83,420,216,1122
84,1770,547,165
85,13992,481,784
86,2336,275,808
87,2777,402,258
88,2080,295,551
89,116,516,31
90,595,74,241
91,1048,183,279
92,5161,106,190
93,707,161,354
94,6438,1027,301
95,478,140,68
96,378,46,35
97,1757,934,1565
98,962,275,253
99,59,11,156
100,41,36,117
