Var1,Var2,Var3,id,statusCount,followersCount,FriendsCount,ranking,distances
812,1401052147,lobrego9,812,544,1836,303,0.11058084358957,259.164513985056
35,43774821,EliMolinalarcon,35,2937,2405,107,0.0156702200596221,4813.18236047915
392,222380721,PabloZBSC,392,40207,3452,542,0.110553751725372,269.1101013186
398,223679662,hildasaraguayo,398,5257,1636,278,0.108506653234978,4.95746366633155
521,293873656,diegomino,521,17145,3427,651,0.110482025127466,274.511908262967
184,138063805,floreriaeuropa,184,2034,3818,214,0.106794990858591,0.151343869322632
453,250788399,BeluAndradeC,453,9043,25030,23611,0.107862158225784,148.781861907481
113,98172301,WalnerTBM,113,7166,2711,35,0.110545567297757,268.767818426798
586,360757684,cdcruzc,586,452,51,160,0.10845574553258,0
133,112208092,GuilloFarfan,133,8635,225,144,0.11054804434828,269.584916284812
